youtuber,video_id,cosine_similarity,js_divergence,l1_distance
thetrenchfamily,Dr5t5w24mDI,1.0,0.0,0.0
thetrenchfamily,zgoZxAXBrD0,1.0,0.0,0.0
thetrenchfamily,RXJm5Psl_NQ,1.0,0.0,0.0
thetrenchfamily,2yomts2RkpA,1.0,0.0,0.0
thetrenchfamily,5-QbbkboE1g,1.0,0.0,0.0
thetrenchfamily,83Zr1x-v0IA,1.0,0.0,0.0
thetrenchfamily,rr2A651dIUM,1.0,0.0,0.0
thetrenchfamily,Sp9TZdNSRY8,1.0,0.0,0.0
thetrenchfamily,ysGJ862IOpE,1.0,0.0,0.0
thetrenchfamily,GTeA_G7UUlM,1.0,0.0,0.0
thetrenchfamily,Xs7PUgrr2G0,1.0,0.0,0.0
thetrenchfamily,eM4nt6cGyNc,1.0,0.0,0.0
thetrenchfamily,ocbVTM4mesA,1.0,0.0,0.0
thetrenchfamily,ViRlq8Fa2lc,1.0,0.0,0.0
thetrenchfamily,SoM4kn2dk88,1.0,0.0,0.0
thetrenchfamily,bUQI-d5B8rY,1.0,0.0,0.0
thetrenchfamily,KfHtc5xQlpM,1.0,0.0,0.0
thetrenchfamily,9SD0ZXLT_aY,1.0,0.0,0.0
thetrenchfamily,aDZmLqGE54c,1.0,0.0,0.0
thetrenchfamily,Dj2gXh-60ug,1.0,0.0,0.0
thetrenchfamily,-2Xl_LNBRHA,1.0,0.0,0.0
thetrenchfamily,K9FeO9zFV1A,1.0,0.0,0.0
thetrenchfamily,w8KlYsDrURs,1.0,0.0,0.0
thetrenchfamily,glQeFJZurh0,1.0,0.0,0.0
thetrenchfamily,WaclfpZaSoE,1.0,0.0,0.0
thetrenchfamily,YiN5V9ZgSgs,1.0,0.0,0.0
thetrenchfamily,XNqZD-C97Ag,1.0,0.0,0.0
thetrenchfamily,zgsMmelsh5U,1.0,0.0,0.0
thetrenchfamily,9Ox2qeG2hak,1.0,0.0,0.0
thetrenchfamily,BsMlt6NyYe8,1.0,0.0,0.0
thetrenchfamily,2O46A-T5Gqs,1.0,0.0,0.0
thetrenchfamily,ZKfbyAoTPKo,1.0,0.0,0.0
thetrenchfamily,qeg_Z08GjqM,1.0,0.0,0.0
thetrenchfamily,QsWTcK3iGmw,1.0,0.0,0.0
thetrenchfamily,gmj4k5VHNN8,1.0,0.0,0.0
thetrenchfamily,xS9mLlVEQ4c,1.0,0.0,0.0
thetrenchfamily,TZFBDgc2uyo,1.0,0.0,0.0
thetrenchfamily,-Ig1BwaKMv0,1.0,0.0,0.0
thetrenchfamily,glgCLktZdM4,1.0,0.0,0.0
thetrenchfamily,PGi7SXxLYjI,1.0,0.0,0.0
thetrenchfamily,anR7FlLPSPU,1.0,0.0,0.0
thetrenchfamily,DeemOctpVSs,1.0,0.0,0.0
thetrenchfamily,sTUnqcgT6fc,1.0,0.0,0.0
thetrenchfamily,LC7J4qSVwoA,1.0,0.0,0.0
thetrenchfamily,kSde6H5_nvs,1.0,0.0,0.0
thetrenchfamily,ORbDkbDOjqg,1.0,0.0,0.0
thetrenchfamily,2ZZKn2zQVwg,1.0,0.0,0.0
thetrenchfamily,L8y5YWVah-o,1.0,0.0,0.0
thetrenchfamily,2ztO-XB1NoU,1.0,0.0,0.0
thetrenchfamily,3I1sK7J9xoY,1.0,0.0,0.0
thetrenchfamily,U4FfukdKPAA,1.0,0.0,0.0
thetrenchfamily,IChXfOkAolQ,1.0,0.0,0.0
